Epoch: 0 (Saved at 0), Train Loss: 810.902, Validation Loss: 874.273 (42.060), Epoch time: 29.161 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 500.140, Validation Loss: 552.108 (35.917), Epoch time: 30.605 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 441.649, Validation Loss: 481.228 (34.741), Epoch time: 31.233 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 260.596, Validation Loss: 216.162 (14.298), Epoch time: 31.489 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 222.436, Validation Loss: 164.144 (13.698), Epoch time: 30.793 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 194.298, Validation Loss: 144.158 (11.846), Epoch time: 30.618 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 187.546, Validation Loss: 124.133 (9.910), Epoch time: 30.836 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 184.314, Validation Loss: 114.042 (9.820), Epoch time: 30.874 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 176.743, Validation Loss: 111.471 (8.427), Epoch time: 30.609 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 175.117, Validation Loss: 107.189 (8.426), Epoch time: 31.095 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 154.742, Validation Loss: 104.603 (8.078), Epoch time: 31.263 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 159.825, Validation Loss: 102.171 (8.042), Epoch time: 31.027 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 152.205, Validation Loss: 100.864 (8.042), Epoch time: 30.947 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 145.327, Validation Loss: 91.776 (8.358), Epoch time: 31.285 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 150.790, Validation Loss: 90.500 (8.136), Epoch time: 30.327 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 142.140, Validation Loss: 87.947 (7.840), Epoch time: 30.605 s, LR = 0.00200000
Epoch: 16 (Saved at 15), Train Loss: 141.336, Validation Loss: 89.905 (7.848), Epoch time: 31.741 s, LR = 0.00200000
Epoch: 17 (Saved at 15), Train Loss: 144.578, Validation Loss: 91.355 (7.244), Epoch time: 30.021 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 134.894, Validation Loss: 86.329 (7.644), Epoch time: 30.460 s, LR = 0.00200000
Epoch: 19 (Saved at 18), Train Loss: 133.899, Validation Loss: 88.806 (7.447), Epoch time: 29.620 s, LR = 0.00200000
Epoch: 20 (Saved at 20), Train Loss: 137.946, Validation Loss: 83.801 (7.574), Epoch time: 30.128 s, LR = 0.00200000
Epoch: 21 (Saved at 21), Train Loss: 137.854, Validation Loss: 81.417 (7.770), Epoch time: 31.455 s, LR = 0.00200000
Epoch: 22 (Saved at 21), Train Loss: 140.939, Validation Loss: 87.079 (7.908), Epoch time: 30.974 s, LR = 0.00200000
Epoch: 23 (Saved at 21), Train Loss: 137.903, Validation Loss: 88.523 (7.295), Epoch time: 30.504 s, LR = 0.00200000
Epoch: 24 (Saved at 24), Train Loss: 140.637, Validation Loss: 81.241 (7.499), Epoch time: 30.509 s, LR = 0.00200000
Epoch: 25 (Saved at 24), Train Loss: 126.124, Validation Loss: 85.541 (6.833), Epoch time: 31.097 s, LR = 0.00200000
Epoch: 26 (Saved at 24), Train Loss: 133.131, Validation Loss: 83.570 (6.810), Epoch time: 31.126 s, LR = 0.00200000
Epoch: 27 (Saved at 24), Train Loss: 126.063, Validation Loss: 84.915 (6.684), Epoch time: 31.551 s, LR = 0.00200000
Epoch: 28 (Saved at 28), Train Loss: 137.202, Validation Loss: 77.617 (7.473), Epoch time: 31.032 s, LR = 0.00200000
Epoch: 29 (Saved at 28), Train Loss: 137.153, Validation Loss: 80.374 (6.866), Epoch time: 31.763 s, LR = 0.00200000
Epoch: 30 (Saved at 28), Train Loss: 124.377, Validation Loss: 81.253 (6.594), Epoch time: 30.856 s, LR = 0.00200000
Epoch: 31 (Saved at 28), Train Loss: 128.107, Validation Loss: 82.057 (6.465), Epoch time: 31.568 s, LR = 0.00200000
Epoch: 32 (Saved at 28), Train Loss: 123.625, Validation Loss: 84.213 (6.303), Epoch time: 31.452 s, LR = 0.00200000
Epoch: 33 (Saved at 28), Train Loss: 127.269, Validation Loss: 78.187 (6.877), Epoch time: 30.911 s, LR = 0.00200000
Epoch: 34 (Saved at 28), Train Loss: 134.387, Validation Loss: 79.366 (6.689), Epoch time: 31.824 s, LR = 0.00200000
Epoch: 35 (Saved at 28), Train Loss: 125.325, Validation Loss: 80.084 (6.496), Epoch time: 31.603 s, LR = 0.00200000
Epoch: 36 (Saved at 28), Train Loss: 127.099, Validation Loss: 78.422 (7.485), Epoch time: 32.731 s, LR = 0.00200000
Epoch: 37 (Saved at 37), Train Loss: 120.803, Validation Loss: 73.805 (7.438), Epoch time: 31.345 s, LR = 0.00200000
Epoch: 38 (Saved at 37), Train Loss: 123.334, Validation Loss: 78.862 (7.053), Epoch time: 31.922 s, LR = 0.00200000
Epoch: 39 (Saved at 39), Train Loss: 124.152, Validation Loss: 72.728 (7.262), Epoch time: 31.113 s, LR = 0.00200000
Epoch: 40 (Saved at 39), Train Loss: 119.797, Validation Loss: 80.137 (7.486), Epoch time: 32.292 s, LR = 0.00200000
Epoch: 41 (Saved at 39), Train Loss: 120.119, Validation Loss: 73.581 (7.906), Epoch time: 31.831 s, LR = 0.00200000
Epoch: 42 (Saved at 42), Train Loss: 120.768, Validation Loss: 72.385 (7.864), Epoch time: 31.590 s, LR = 0.00200000
Epoch: 43 (Saved at 42), Train Loss: 114.447, Validation Loss: 78.253 (7.612), Epoch time: 32.453 s, LR = 0.00200000
Epoch: 44 (Saved at 44), Train Loss: 110.756, Validation Loss: 71.513 (8.223), Epoch time: 31.987 s, LR = 0.00200000
Epoch: 45 (Saved at 44), Train Loss: 122.024, Validation Loss: 76.420 (7.719), Epoch time: 32.210 s, LR = 0.00200000
Epoch: 46 (Saved at 46), Train Loss: 108.244, Validation Loss: 70.271 (8.126), Epoch time: 31.975 s, LR = 0.00200000
Epoch: 47 (Saved at 47), Train Loss: 110.841, Validation Loss: 68.912 (8.568), Epoch time: 31.008 s, LR = 0.00200000
Epoch: 48 (Saved at 47), Train Loss: 105.776, Validation Loss: 72.376 (7.438), Epoch time: 32.106 s, LR = 0.00200000
Epoch: 49 (Saved at 47), Train Loss: 110.129, Validation Loss: 72.351 (7.597), Epoch time: 31.370 s, LR = 0.00200000
Epoch: 50 (Saved at 50), Train Loss: 117.214, Validation Loss: 67.922 (7.368), Epoch time: 31.764 s, LR = 0.00200000
Epoch: 51 (Saved at 51), Train Loss: 109.025, Validation Loss: 64.895 (8.273), Epoch time: 31.738 s, LR = 0.00200000
Epoch: 52 (Saved at 51), Train Loss: 107.849, Validation Loss: 65.527 (8.632), Epoch time: 32.324 s, LR = 0.00200000
Epoch: 53 (Saved at 53), Train Loss: 105.606, Validation Loss: 64.587 (8.199), Epoch time: 31.757 s, LR = 0.00200000
Epoch: 54 (Saved at 53), Train Loss: 107.380, Validation Loss: 67.733 (8.418), Epoch time: 31.111 s, LR = 0.00200000
Epoch: 55 (Saved at 53), Train Loss: 100.552, Validation Loss: 65.410 (8.275), Epoch time: 31.561 s, LR = 0.00200000
Epoch: 56 (Saved at 53), Train Loss: 103.806, Validation Loss: 66.745 (8.325), Epoch time: 32.082 s, LR = 0.00200000
Epoch: 57 (Saved at 57), Train Loss: 102.253, Validation Loss: 64.155 (8.750), Epoch time: 32.650 s, LR = 0.00200000
Epoch: 58 (Saved at 57), Train Loss: 98.707, Validation Loss: 64.402 (8.457), Epoch time: 30.991 s, LR = 0.00200000
Epoch: 59 (Saved at 57), Train Loss: 104.745, Validation Loss: 64.774 (8.001), Epoch time: 30.198 s, LR = 0.00200000
Epoch: 60 (Saved at 57), Train Loss: 107.415, Validation Loss: 67.342 (8.542), Epoch time: 30.457 s, LR = 0.00200000
Epoch: 61 (Saved at 57), Train Loss: 97.280, Validation Loss: 64.540 (8.118), Epoch time: 30.511 s, LR = 0.00200000
Epoch: 62 (Saved at 57), Train Loss: 104.309, Validation Loss: 65.231 (8.098), Epoch time: 31.268 s, LR = 0.00200000
Epoch: 63 (Saved at 63), Train Loss: 95.159, Validation Loss: 62.816 (8.592), Epoch time: 31.186 s, LR = 0.00200000
Epoch: 64 (Saved at 63), Train Loss: 104.455, Validation Loss: 63.611 (8.393), Epoch time: 31.818 s, LR = 0.00200000
Epoch: 65 (Saved at 63), Train Loss: 93.270, Validation Loss: 63.728 (9.027), Epoch time: 32.125 s, LR = 0.00200000
Epoch: 66 (Saved at 63), Train Loss: 96.333, Validation Loss: 63.052 (8.040), Epoch time: 31.289 s, LR = 0.00200000
Epoch: 67 (Saved at 67), Train Loss: 103.192, Validation Loss: 62.157 (8.607), Epoch time: 30.949 s, LR = 0.00200000
Epoch: 68 (Saved at 67), Train Loss: 94.119, Validation Loss: 62.709 (8.153), Epoch time: 30.698 s, LR = 0.00200000
Epoch: 69 (Saved at 67), Train Loss: 100.385, Validation Loss: 62.847 (8.425), Epoch time: 30.724 s, LR = 0.00200000
Epoch: 70 (Saved at 70), Train Loss: 96.059, Validation Loss: 60.450 (8.463), Epoch time: 31.495 s, LR = 0.00200000
Epoch: 71 (Saved at 71), Train Loss: 97.349, Validation Loss: 59.729 (7.986), Epoch time: 31.748 s, LR = 0.00200000
Epoch: 72 (Saved at 71), Train Loss: 93.469, Validation Loss: 60.523 (8.498), Epoch time: 31.548 s, LR = 0.00200000
Epoch: 73 (Saved at 71), Train Loss: 87.341, Validation Loss: 61.386 (7.403), Epoch time: 31.757 s, LR = 0.00200000
Epoch: 74 (Saved at 74), Train Loss: 95.580, Validation Loss: 58.872 (7.340), Epoch time: 29.975 s, LR = 0.00200000
Epoch: 75 (Saved at 75), Train Loss: 94.433, Validation Loss: 58.556 (7.574), Epoch time: 30.968 s, LR = 0.00200000
Epoch: 76 (Saved at 76), Train Loss: 88.592, Validation Loss: 55.834 (7.785), Epoch time: 30.830 s, LR = 0.00200000
Epoch: 77 (Saved at 77), Train Loss: 92.358, Validation Loss: 55.784 (8.000), Epoch time: 30.560 s, LR = 0.00200000
Epoch: 78 (Saved at 78), Train Loss: 91.360, Validation Loss: 55.225 (7.608), Epoch time: 31.036 s, LR = 0.00200000
Epoch: 79 (Saved at 78), Train Loss: 93.587, Validation Loss: 58.068 (8.676), Epoch time: 31.458 s, LR = 0.00200000
Epoch: 80 (Saved at 78), Train Loss: 89.452, Validation Loss: 56.465 (8.316), Epoch time: 30.503 s, LR = 0.00200000
Epoch: 81 (Saved at 78), Train Loss: 93.761, Validation Loss: 56.981 (8.706), Epoch time: 30.338 s, LR = 0.00200000
Epoch: 82 (Saved at 82), Train Loss: 95.811, Validation Loss: 54.956 (8.411), Epoch time: 31.465 s, LR = 0.00200000
Epoch: 83 (Saved at 82), Train Loss: 88.564, Validation Loss: 58.658 (8.746), Epoch time: 31.024 s, LR = 0.00200000
Epoch: 84 (Saved at 84), Train Loss: 91.357, Validation Loss: 53.896 (8.613), Epoch time: 30.219 s, LR = 0.00200000
Epoch: 85 (Saved at 84), Train Loss: 90.016, Validation Loss: 54.847 (8.533), Epoch time: 30.965 s, LR = 0.00200000
Epoch: 86 (Saved at 84), Train Loss: 93.832, Validation Loss: 54.022 (8.293), Epoch time: 29.804 s, LR = 0.00200000
Epoch: 87 (Saved at 84), Train Loss: 91.770, Validation Loss: 56.881 (8.730), Epoch time: 31.230 s, LR = 0.00200000
Epoch: 88 (Saved at 84), Train Loss: 96.857, Validation Loss: 60.096 (7.938), Epoch time: 29.893 s, LR = 0.00200000
Epoch: 89 (Saved at 84), Train Loss: 90.523, Validation Loss: 56.895 (7.975), Epoch time: 29.948 s, LR = 0.00200000
Epoch: 90 (Saved at 84), Train Loss: 88.201, Validation Loss: 53.938 (8.012), Epoch time: 31.017 s, LR = 0.00200000
Epoch: 91 (Saved at 84), Train Loss: 86.862, Validation Loss: 54.427 (8.425), Epoch time: 30.549 s, LR = 0.00200000
Epoch: 92 (Saved at 84), Train Loss: 87.753, Validation Loss: 55.421 (8.234), Epoch time: 29.894 s, LR = 0.00200000
Epoch: 93 (Saved at 84), Train Loss: 95.317, Validation Loss: 54.879 (8.565), Epoch time: 29.857 s, LR = 0.00200000
Epoch: 94 (Saved at 84), Train Loss: 85.132, Validation Loss: 56.797 (8.217), Epoch time: 29.881 s, LR = 0.00200000
Epoch: 95 (Saved at 84), Train Loss: 93.177, Validation Loss: 55.588 (8.158), Epoch time: 31.221 s, LR = 0.00200000
Epoch: 96 (Saved at 84), Train Loss: 85.237, Validation Loss: 57.127 (8.545), Epoch time: 30.970 s, LR = 0.00200000
Epoch: 97 (Saved at 84), Train Loss: 87.768, Validation Loss: 56.818 (8.566), Epoch time: 30.476 s, LR = 0.00200000
Epoch: 98 (Saved at 84), Train Loss: 83.466, Validation Loss: 56.263 (8.630), Epoch time: 30.815 s, LR = 0.00200000
Epoch: 99 (Saved at 99), Train Loss: 97.187, Validation Loss: 52.564 (8.123), Epoch time: 31.003 s, LR = 0.00200000
Epoch: 100 (Saved at 99), Train Loss: 91.698, Validation Loss: 54.597 (7.951), Epoch time: 29.692 s, LR = 0.00200000
Epoch: 101 (Saved at 99), Train Loss: 91.252, Validation Loss: 54.890 (8.311), Epoch time: 29.588 s, LR = 0.00200000
Epoch: 102 (Saved at 99), Train Loss: 84.641, Validation Loss: 54.013 (7.893), Epoch time: 30.610 s, LR = 0.00200000
Epoch: 103 (Saved at 103), Train Loss: 83.231, Validation Loss: 50.554 (7.157), Epoch time: 30.092 s, LR = 0.00200000
Epoch: 104 (Saved at 103), Train Loss: 84.034, Validation Loss: 53.826 (7.767), Epoch time: 29.786 s, LR = 0.00200000
Epoch: 105 (Saved at 103), Train Loss: 90.558, Validation Loss: 54.331 (8.337), Epoch time: 30.687 s, LR = 0.00200000
Epoch: 106 (Saved at 103), Train Loss: 90.342, Validation Loss: 57.780 (8.617), Epoch time: 31.197 s, LR = 0.00200000
Epoch: 107 (Saved at 103), Train Loss: 83.494, Validation Loss: 57.772 (8.370), Epoch time: 30.510 s, LR = 0.00200000
Epoch: 108 (Saved at 103), Train Loss: 83.747, Validation Loss: 52.274 (8.184), Epoch time: 31.351 s, LR = 0.00200000
Epoch: 109 (Saved at 103), Train Loss: 83.096, Validation Loss: 53.082 (7.589), Epoch time: 29.784 s, LR = 0.00200000
Epoch: 110 (Saved at 103), Train Loss: 84.111, Validation Loss: 53.219 (8.267), Epoch time: 30.142 s, LR = 0.00200000
Epoch: 111 (Saved at 103), Train Loss: 80.008, Validation Loss: 55.497 (8.639), Epoch time: 29.934 s, LR = 0.00200000
Epoch: 112 (Saved at 103), Train Loss: 79.237, Validation Loss: 56.591 (7.767), Epoch time: 30.950 s, LR = 0.00200000
Epoch: 113 (Saved at 103), Train Loss: 86.898, Validation Loss: 52.762 (7.771), Epoch time: 31.222 s, LR = 0.00200000
Epoch: 114 (Saved at 103), Train Loss: 87.274, Validation Loss: 51.558 (8.549), Epoch time: 30.974 s, LR = 0.00200000
Epoch: 115 (Saved at 103), Train Loss: 77.791, Validation Loss: 54.879 (9.064), Epoch time: 30.028 s, LR = 0.00200000
Epoch: 116 (Saved at 103), Train Loss: 82.774, Validation Loss: 56.346 (8.340), Epoch time: 31.092 s, LR = 0.00200000
Epoch: 117 (Saved at 103), Train Loss: 79.945, Validation Loss: 57.031 (7.962), Epoch time: 30.300 s, LR = 0.00200000
Epoch: 118 (Saved at 103), Train Loss: 85.809, Validation Loss: 56.016 (8.686), Epoch time: 31.119 s, LR = 0.00200000
Epoch: 119 (Saved at 103), Train Loss: 87.659, Validation Loss: 54.372 (8.729), Epoch time: 29.785 s, LR = 0.00200000
Epoch: 120 (Saved at 103), Train Loss: 72.819, Validation Loss: 55.593 (8.199), Epoch time: 30.686 s, LR = 0.00200000
