Epoch: 0 (Saved at 0), Train Loss: 69.281, Validation Loss: 103.135 (6.937), Epoch time: 24.393 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 72.594, Validation Loss: 44.944 (7.271), Epoch time: 24.493 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 21.179, Validation Loss: 34.189 (6.028), Epoch time: 24.188 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 23.626, Validation Loss: 26.688 (4.943), Epoch time: 24.258 s, LR = 0.00200000
Epoch: 4 (Saved at 3), Train Loss: 15.466, Validation Loss: 27.527 (5.006), Epoch time: 24.164 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 18.533, Validation Loss: 18.645 (3.166), Epoch time: 24.199 s, LR = 0.00200000
Epoch: 6 (Saved at 5), Train Loss: 20.412, Validation Loss: 21.007 (3.296), Epoch time: 24.258 s, LR = 0.00200000
Epoch: 7 (Saved at 5), Train Loss: 14.015, Validation Loss: 21.201 (3.997), Epoch time: 25.484 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 12.643, Validation Loss: 16.492 (3.253), Epoch time: 24.760 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 13.490, Validation Loss: 15.825 (3.201), Epoch time: 24.133 s, LR = 0.00200000
Epoch: 10 (Saved at 9), Train Loss: 10.317, Validation Loss: 16.325 (3.087), Epoch time: 24.115 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 23.536, Validation Loss: 14.223 (3.162), Epoch time: 24.237 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 9.758, Validation Loss: 13.054 (3.720), Epoch time: 24.285 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 6.896, Validation Loss: 12.849 (3.032), Epoch time: 24.153 s, LR = 0.00200000
Epoch: 14 (Saved at 13), Train Loss: 20.150, Validation Loss: 20.488 (2.994), Epoch time: 24.080 s, LR = 0.00200000
Epoch: 15 (Saved at 13), Train Loss: 7.305, Validation Loss: 15.571 (3.762), Epoch time: 24.229 s, LR = 0.00200000
Epoch: 16 (Saved at 13), Train Loss: 8.119, Validation Loss: 14.371 (3.390), Epoch time: 24.229 s, LR = 0.00200000
Epoch: 17 (Saved at 13), Train Loss: 12.236, Validation Loss: 15.564 (3.330), Epoch time: 24.218 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 17.590, Validation Loss: 11.869 (3.046), Epoch time: 24.072 s, LR = 0.00200000
Epoch: 19 (Saved at 18), Train Loss: 9.853, Validation Loss: 12.988 (3.425), Epoch time: 24.285 s, LR = 0.00200000
Epoch: 20 (Saved at 20), Train Loss: 5.572, Validation Loss: 9.631 (3.541), Epoch time: 24.155 s, LR = 0.00200000
Epoch: 21 (Saved at 20), Train Loss: 6.903, Validation Loss: 9.718 (3.348), Epoch time: 24.202 s, LR = 0.00200000
Epoch: 22 (Saved at 20), Train Loss: 10.174, Validation Loss: 11.514 (3.198), Epoch time: 24.274 s, LR = 0.00200000
Epoch: 23 (Saved at 23), Train Loss: 5.399, Validation Loss: 9.057 (2.704), Epoch time: 23.855 s, LR = 0.00200000
Epoch: 24 (Saved at 23), Train Loss: 12.219, Validation Loss: 10.680 (2.631), Epoch time: 24.112 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 5.120, Validation Loss: 8.484 (2.472), Epoch time: 24.236 s, LR = 0.00200000
Epoch: 26 (Saved at 25), Train Loss: 13.906, Validation Loss: 11.486 (2.584), Epoch time: 24.293 s, LR = 0.00200000
Epoch: 27 (Saved at 25), Train Loss: 6.139, Validation Loss: 11.224 (2.424), Epoch time: 24.244 s, LR = 0.00200000
Epoch: 28 (Saved at 25), Train Loss: 9.795, Validation Loss: 10.766 (2.373), Epoch time: 24.202 s, LR = 0.00200000
Epoch: 29 (Saved at 25), Train Loss: 6.050, Validation Loss: 11.534 (2.589), Epoch time: 24.270 s, LR = 0.00200000
Epoch: 30 (Saved at 25), Train Loss: 14.715, Validation Loss: 21.122 (2.631), Epoch time: 24.222 s, LR = 0.00200000
Epoch: 31 (Saved at 25), Train Loss: 6.001, Validation Loss: 9.095 (2.370), Epoch time: 24.303 s, LR = 0.00200000
Epoch: 32 (Saved at 25), Train Loss: 5.600, Validation Loss: 9.412 (2.463), Epoch time: 23.851 s, LR = 0.00200000
Epoch: 33 (Saved at 25), Train Loss: 5.482, Validation Loss: 8.920 (2.601), Epoch time: 24.287 s, LR = 0.00200000
Epoch: 34 (Saved at 25), Train Loss: 7.135, Validation Loss: 10.838 (2.395), Epoch time: 24.161 s, LR = 0.00200000
Epoch: 35 (Saved at 25), Train Loss: 10.189, Validation Loss: 10.739 (2.636), Epoch time: 24.200 s, LR = 0.00200000
Epoch: 36 (Saved at 25), Train Loss: 6.628, Validation Loss: 8.870 (2.688), Epoch time: 24.236 s, LR = 0.00200000
