Epoch: 0 (Saved at 0), Train Loss: 77.507, Validation Loss: 95.586 (10.651), Epoch time: 42.946 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 42.884, Validation Loss: 54.460 (6.013), Epoch time: 42.482 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 35.982, Validation Loss: 50.153 (6.398), Epoch time: 42.523 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 45.236, Validation Loss: 46.555 (6.544), Epoch time: 42.638 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 38.449, Validation Loss: 35.523 (3.676), Epoch time: 42.551 s, LR = 0.00200000
Epoch: 5 (Saved at 4), Train Loss: 26.127, Validation Loss: 41.833 (5.971), Epoch time: 42.726 s, LR = 0.00200000
Epoch: 6 (Saved at 4), Train Loss: 20.943, Validation Loss: 40.956 (6.756), Epoch time: 42.621 s, LR = 0.00200000
Epoch: 7 (Saved at 4), Train Loss: 51.374, Validation Loss: 61.198 (7.154), Epoch time: 42.639 s, LR = 0.00200000
Epoch: 8 (Saved at 4), Train Loss: 15.712, Validation Loss: 39.451 (5.103), Epoch time: 42.638 s, LR = 0.00200000
Epoch: 9 (Saved at 4), Train Loss: 29.294, Validation Loss: 46.254 (6.121), Epoch time: 42.655 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 49.837, Validation Loss: 32.612 (4.574), Epoch time: 42.543 s, LR = 0.00200000
Epoch: 11 (Saved at 10), Train Loss: 16.652, Validation Loss: 35.787 (3.919), Epoch time: 42.683 s, LR = 0.00200000
Epoch: 12 (Saved at 10), Train Loss: 20.878, Validation Loss: 42.063 (6.409), Epoch time: 42.724 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 16.365, Validation Loss: 30.292 (5.150), Epoch time: 42.600 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 23.913, Validation Loss: 28.220 (4.254), Epoch time: 42.652 s, LR = 0.00200000
Epoch: 15 (Saved at 14), Train Loss: 17.736, Validation Loss: 34.600 (4.133), Epoch time: 42.759 s, LR = 0.00200000
Epoch: 16 (Saved at 14), Train Loss: 21.677, Validation Loss: 34.319 (5.571), Epoch time: 42.647 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 14.061, Validation Loss: 27.540 (4.290), Epoch time: 42.777 s, LR = 0.00200000
Epoch: 18 (Saved at 17), Train Loss: 14.131, Validation Loss: 32.415 (5.838), Epoch time: 42.938 s, LR = 0.00200000
Epoch: 19 (Saved at 17), Train Loss: 22.461, Validation Loss: 34.267 (4.161), Epoch time: 42.859 s, LR = 0.00200000
Epoch: 20 (Saved at 17), Train Loss: 21.500, Validation Loss: 31.361 (4.940), Epoch time: 42.761 s, LR = 0.00200000
Epoch: 21 (Saved at 17), Train Loss: 19.266, Validation Loss: 44.678 (5.555), Epoch time: 42.727 s, LR = 0.00200000
Epoch: 22 (Saved at 17), Train Loss: 31.089, Validation Loss: 37.730 (4.417), Epoch time: 42.731 s, LR = 0.00200000
Epoch: 23 (Saved at 17), Train Loss: 17.890, Validation Loss: 37.674 (4.864), Epoch time: 42.878 s, LR = 0.00200000
Epoch: 24 (Saved at 17), Train Loss: 26.032, Validation Loss: 34.543 (3.949), Epoch time: 42.890 s, LR = 0.00200000
Epoch: 25 (Saved at 17), Train Loss: 22.805, Validation Loss: 34.641 (5.472), Epoch time: 42.787 s, LR = 0.00200000
Epoch: 26 (Saved at 26), Train Loss: 15.063, Validation Loss: 26.669 (4.191), Epoch time: 42.860 s, LR = 0.00200000
Epoch: 27 (Saved at 26), Train Loss: 18.084, Validation Loss: 43.739 (6.499), Epoch time: 42.793 s, LR = 0.00200000
Epoch: 28 (Saved at 26), Train Loss: 21.182, Validation Loss: 35.191 (4.549), Epoch time: 42.749 s, LR = 0.00200000
Epoch: 29 (Saved at 26), Train Loss: 12.403, Validation Loss: 33.373 (4.626), Epoch time: 42.731 s, LR = 0.00200000
Epoch: 30 (Saved at 26), Train Loss: 14.729, Validation Loss: 28.708 (4.267), Epoch time: 42.593 s, LR = 0.00200000
Epoch: 31 (Saved at 26), Train Loss: 12.252, Validation Loss: 29.335 (4.092), Epoch time: 42.761 s, LR = 0.00200000
Epoch: 32 (Saved at 26), Train Loss: 26.808, Validation Loss: 37.265 (6.350), Epoch time: 42.807 s, LR = 0.00200000
Epoch: 33 (Saved at 26), Train Loss: 11.127, Validation Loss: 32.941 (5.426), Epoch time: 42.935 s, LR = 0.00200000
Epoch: 34 (Saved at 26), Train Loss: 12.603, Validation Loss: 31.468 (5.451), Epoch time: 42.817 s, LR = 0.00200000
Epoch: 35 (Saved at 26), Train Loss: 13.380, Validation Loss: 29.027 (3.883), Epoch time: 42.797 s, LR = 0.00200000
Epoch: 36 (Saved at 26), Train Loss: 18.043, Validation Loss: 37.676 (6.959), Epoch time: 42.712 s, LR = 0.00200000
Epoch: 37 (Saved at 26), Train Loss: 11.240, Validation Loss: 29.959 (5.153), Epoch time: 42.816 s, LR = 0.00200000
Epoch: 38 (Saved at 26), Train Loss: 24.706, Validation Loss: 42.206 (5.060), Epoch time: 42.800 s, LR = 0.00200000
Epoch: 39 (Saved at 26), Train Loss: 14.348, Validation Loss: 34.376 (5.929), Epoch time: 42.773 s, LR = 0.00200000
Epoch: 40 (Saved at 26), Train Loss: 16.995, Validation Loss: 32.039 (3.955), Epoch time: 42.762 s, LR = 0.00200000
Epoch: 41 (Saved at 26), Train Loss: 15.231, Validation Loss: 30.646 (5.603), Epoch time: 42.724 s, LR = 0.00200000
Epoch: 42 (Saved at 26), Train Loss: 18.303, Validation Loss: 39.336 (6.471), Epoch time: 42.722 s, LR = 0.00200000
