Epoch: 0 (Saved at 0), Train Loss: 88.088, Validation Loss: 94.400 (5.574), Epoch time: 27.146 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 28.555, Validation Loss: 38.655 (4.280), Epoch time: 26.824 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 30.616, Validation Loss: 34.064 (5.133), Epoch time: 26.887 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 19.494, Validation Loss: 25.668 (4.643), Epoch time: 26.846 s, LR = 0.00200000
Epoch: 4 (Saved at 3), Train Loss: 53.176, Validation Loss: 30.740 (3.147), Epoch time: 27.270 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 13.190, Validation Loss: 20.834 (4.874), Epoch time: 26.843 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 12.748, Validation Loss: 19.454 (3.831), Epoch time: 29.461 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 13.778, Validation Loss: 18.326 (3.988), Epoch time: 27.167 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 18.808, Validation Loss: 16.833 (4.220), Epoch time: 27.093 s, LR = 0.00200000
Epoch: 9 (Saved at 8), Train Loss: 16.865, Validation Loss: 17.064 (3.297), Epoch time: 27.138 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 9.448, Validation Loss: 14.430 (3.934), Epoch time: 27.144 s, LR = 0.00200000
Epoch: 11 (Saved at 10), Train Loss: 14.411, Validation Loss: 20.802 (4.232), Epoch time: 26.878 s, LR = 0.00200000
Epoch: 12 (Saved at 10), Train Loss: 19.395, Validation Loss: 17.969 (3.345), Epoch time: 26.986 s, LR = 0.00200000
Epoch: 13 (Saved at 10), Train Loss: 18.729, Validation Loss: 16.191 (3.502), Epoch time: 27.054 s, LR = 0.00200000
Epoch: 14 (Saved at 10), Train Loss: 9.186, Validation Loss: 14.971 (3.518), Epoch time: 26.884 s, LR = 0.00200000
Epoch: 15 (Saved at 10), Train Loss: 15.498, Validation Loss: 20.181 (3.714), Epoch time: 26.960 s, LR = 0.00200000
Epoch: 16 (Saved at 10), Train Loss: 40.690, Validation Loss: 17.133 (3.942), Epoch time: 26.869 s, LR = 0.00200000
Epoch: 17 (Saved at 10), Train Loss: 15.027, Validation Loss: 14.808 (3.565), Epoch time: 27.033 s, LR = 0.00200000
Epoch: 18 (Saved at 10), Train Loss: 11.475, Validation Loss: 14.627 (3.112), Epoch time: 26.957 s, LR = 0.00200000
Epoch: 19 (Saved at 10), Train Loss: 10.623, Validation Loss: 14.832 (3.028), Epoch time: 26.939 s, LR = 0.00200000
Epoch: 20 (Saved at 10), Train Loss: 22.123, Validation Loss: 21.329 (3.215), Epoch time: 26.947 s, LR = 0.00200000
Epoch: 21 (Saved at 21), Train Loss: 12.807, Validation Loss: 13.137 (3.213), Epoch time: 26.958 s, LR = 0.00200000
Epoch: 22 (Saved at 21), Train Loss: 15.704, Validation Loss: 15.205 (2.795), Epoch time: 26.944 s, LR = 0.00200000
