Epoch: 0 (Saved at 0), Train Loss: 777.493, Validation Loss: 856.227 (43.406), Epoch time: 25.791 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 458.414, Validation Loss: 535.482 (35.722), Epoch time: 25.422 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 414.816, Validation Loss: 470.406 (33.467), Epoch time: 25.692 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 211.763, Validation Loss: 250.269 (25.680), Epoch time: 25.454 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 108.612, Validation Loss: 109.640 (11.689), Epoch time: 25.647 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 81.769, Validation Loss: 82.001 (10.397), Epoch time: 25.712 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 70.886, Validation Loss: 65.412 (9.250), Epoch time: 25.358 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 55.149, Validation Loss: 51.847 (7.696), Epoch time: 25.314 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 44.405, Validation Loss: 43.643 (6.976), Epoch time: 25.327 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 39.165, Validation Loss: 38.583 (6.554), Epoch time: 25.329 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 33.279, Validation Loss: 35.124 (6.439), Epoch time: 25.339 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 29.791, Validation Loss: 32.698 (6.477), Epoch time: 25.315 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 27.086, Validation Loss: 30.552 (6.513), Epoch time: 25.321 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 25.298, Validation Loss: 28.448 (6.350), Epoch time: 25.294 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 23.872, Validation Loss: 26.920 (6.280), Epoch time: 25.337 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 22.342, Validation Loss: 25.780 (6.335), Epoch time: 25.446 s, LR = 0.00200000
Epoch: 16 (Saved at 16), Train Loss: 20.895, Validation Loss: 24.633 (6.461), Epoch time: 25.348 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 19.486, Validation Loss: 24.041 (6.643), Epoch time: 25.272 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 18.284, Validation Loss: 23.377 (6.731), Epoch time: 25.266 s, LR = 0.00200000
