Epoch: 0 (Saved at 0), Train Loss: 749.740, Validation Loss: 830.936 (43.409), Epoch time: 31.253 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 473.511, Validation Loss: 529.163 (35.585), Epoch time: 30.842 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 352.065, Validation Loss: 392.433 (33.224), Epoch time: 30.826 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 162.428, Validation Loss: 152.428 (11.980), Epoch time: 31.064 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 115.688, Validation Loss: 101.428 (10.540), Epoch time: 31.129 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 98.754, Validation Loss: 75.624 (8.180), Epoch time: 30.652 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 75.827, Validation Loss: 58.539 (8.064), Epoch time: 30.754 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 64.863, Validation Loss: 47.547 (7.301), Epoch time: 30.410 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 60.133, Validation Loss: 43.148 (6.761), Epoch time: 31.628 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 55.015, Validation Loss: 39.737 (7.432), Epoch time: 30.325 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 51.639, Validation Loss: 35.684 (6.393), Epoch time: 31.285 s, LR = 0.00200000
Epoch: 11 (Saved at 10), Train Loss: 57.441, Validation Loss: 36.008 (5.384), Epoch time: 30.324 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 49.001, Validation Loss: 32.496 (6.285), Epoch time: 31.376 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 48.243, Validation Loss: 31.653 (6.412), Epoch time: 31.620 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 47.792, Validation Loss: 30.189 (6.255), Epoch time: 30.459 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 46.509, Validation Loss: 28.329 (5.964), Epoch time: 30.496 s, LR = 0.00200000
Epoch: 16 (Saved at 16), Train Loss: 45.934, Validation Loss: 26.924 (5.567), Epoch time: 30.209 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 44.247, Validation Loss: 25.832 (5.377), Epoch time: 31.767 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 43.035, Validation Loss: 25.443 (4.867), Epoch time: 30.462 s, LR = 0.00200000
Epoch: 19 (Saved at 19), Train Loss: 40.958, Validation Loss: 24.317 (4.709), Epoch time: 30.178 s, LR = 0.00200000
Epoch: 20 (Saved at 20), Train Loss: 45.279, Validation Loss: 24.070 (4.365), Epoch time: 30.458 s, LR = 0.00200000
Epoch: 21 (Saved at 21), Train Loss: 40.549, Validation Loss: 22.744 (4.395), Epoch time: 31.363 s, LR = 0.00200000
Epoch: 22 (Saved at 22), Train Loss: 38.958, Validation Loss: 22.322 (4.282), Epoch time: 31.587 s, LR = 0.00200000
Epoch: 23 (Saved at 23), Train Loss: 39.848, Validation Loss: 22.143 (4.005), Epoch time: 30.237 s, LR = 0.00200000
Epoch: 24 (Saved at 24), Train Loss: 39.380, Validation Loss: 21.348 (4.055), Epoch time: 31.298 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 39.060, Validation Loss: 21.318 (3.901), Epoch time: 30.436 s, LR = 0.00200000
Epoch: 26 (Saved at 25), Train Loss: 40.987, Validation Loss: 23.306 (3.913), Epoch time: 31.024 s, LR = 0.00200000
Epoch: 27 (Saved at 25), Train Loss: 43.681, Validation Loss: 32.909 (3.127), Epoch time: 31.392 s, LR = 0.00200000
Epoch: 28 (Saved at 25), Train Loss: 33.888, Validation Loss: 26.139 (3.342), Epoch time: 31.130 s, LR = 0.00200000
Epoch: 29 (Saved at 25), Train Loss: 36.334, Validation Loss: 24.972 (3.281), Epoch time: 31.373 s, LR = 0.00200000
Epoch: 30 (Saved at 25), Train Loss: 36.521, Validation Loss: 21.859 (3.502), Epoch time: 30.186 s, LR = 0.00200000
Epoch: 31 (Saved at 25), Train Loss: 31.787, Validation Loss: 23.390 (3.379), Epoch time: 30.136 s, LR = 0.00200000
Epoch: 32 (Saved at 25), Train Loss: 38.011, Validation Loss: 21.323 (3.434), Epoch time: 30.587 s, LR = 0.00200000
Epoch: 33 (Saved at 25), Train Loss: 38.412, Validation Loss: 21.839 (3.346), Epoch time: 31.300 s, LR = 0.00200000
Epoch: 34 (Saved at 34), Train Loss: 37.587, Validation Loss: 21.022 (3.428), Epoch time: 31.431 s, LR = 0.00200000
Epoch: 35 (Saved at 34), Train Loss: 38.130, Validation Loss: 22.075 (3.306), Epoch time: 30.375 s, LR = 0.00200000
Epoch: 36 (Saved at 34), Train Loss: 38.762, Validation Loss: 22.262 (3.208), Epoch time: 31.218 s, LR = 0.00200000
Epoch: 37 (Saved at 34), Train Loss: 37.221, Validation Loss: 22.635 (3.346), Epoch time: 31.256 s, LR = 0.00200000
Epoch: 38 (Saved at 38), Train Loss: 35.112, Validation Loss: 19.767 (4.416), Epoch time: 30.849 s, LR = 0.00200000
Epoch: 39 (Saved at 39), Train Loss: 35.373, Validation Loss: 19.714 (4.338), Epoch time: 31.421 s, LR = 0.00200000
Epoch: 40 (Saved at 39), Train Loss: 35.533, Validation Loss: 20.581 (3.406), Epoch time: 29.894 s, LR = 0.00200000
Epoch: 41 (Saved at 41), Train Loss: 33.030, Validation Loss: 18.713 (3.624), Epoch time: 31.195 s, LR = 0.00200000
Epoch: 42 (Saved at 41), Train Loss: 33.173, Validation Loss: 19.227 (3.345), Epoch time: 31.635 s, LR = 0.00200000
Epoch: 43 (Saved at 41), Train Loss: 31.594, Validation Loss: 18.888 (3.245), Epoch time: 31.791 s, LR = 0.00200000
Epoch: 44 (Saved at 41), Train Loss: 35.649, Validation Loss: 19.828 (3.151), Epoch time: 30.915 s, LR = 0.00200000
Epoch: 45 (Saved at 45), Train Loss: 35.692, Validation Loss: 18.270 (3.286), Epoch time: 30.884 s, LR = 0.00200000
Epoch: 46 (Saved at 46), Train Loss: 31.414, Validation Loss: 17.432 (3.336), Epoch time: 31.046 s, LR = 0.00200000
Epoch: 47 (Saved at 46), Train Loss: 29.262, Validation Loss: 19.914 (3.017), Epoch time: 30.574 s, LR = 0.00200000
Epoch: 48 (Saved at 46), Train Loss: 34.961, Validation Loss: 20.218 (2.956), Epoch time: 30.366 s, LR = 0.00200000
Epoch: 49 (Saved at 46), Train Loss: 31.221, Validation Loss: 21.354 (2.919), Epoch time: 30.679 s, LR = 0.00200000
Epoch: 50 (Saved at 46), Train Loss: 30.499, Validation Loss: 19.846 (3.085), Epoch time: 30.363 s, LR = 0.00200000
Epoch: 51 (Saved at 46), Train Loss: 32.517, Validation Loss: 20.181 (3.117), Epoch time: 29.818 s, LR = 0.00200000
Epoch: 52 (Saved at 52), Train Loss: 32.653, Validation Loss: 17.208 (3.696), Epoch time: 30.762 s, LR = 0.00200000
Epoch: 53 (Saved at 52), Train Loss: 30.588, Validation Loss: 19.593 (3.158), Epoch time: 30.877 s, LR = 0.00200000
Epoch: 54 (Saved at 52), Train Loss: 32.120, Validation Loss: 17.601 (3.228), Epoch time: 31.151 s, LR = 0.00200000
Epoch: 55 (Saved at 55), Train Loss: 32.332, Validation Loss: 17.204 (3.232), Epoch time: 31.301 s, LR = 0.00200000
Epoch: 56 (Saved at 55), Train Loss: 29.691, Validation Loss: 17.778 (3.318), Epoch time: 29.869 s, LR = 0.00200000
Epoch: 57 (Saved at 55), Train Loss: 27.828, Validation Loss: 18.953 (3.407), Epoch time: 29.888 s, LR = 0.00200000
Epoch: 58 (Saved at 55), Train Loss: 29.743, Validation Loss: 17.691 (3.479), Epoch time: 30.587 s, LR = 0.00200000
Epoch: 59 (Saved at 59), Train Loss: 29.647, Validation Loss: 16.375 (3.542), Epoch time: 30.608 s, LR = 0.00200000
Epoch: 60 (Saved at 59), Train Loss: 25.691, Validation Loss: 16.982 (3.230), Epoch time: 31.436 s, LR = 0.00200000
Epoch: 61 (Saved at 59), Train Loss: 27.882, Validation Loss: 17.445 (3.199), Epoch time: 31.109 s, LR = 0.00200000
Epoch: 62 (Saved at 59), Train Loss: 29.217, Validation Loss: 18.357 (3.276), Epoch time: 31.506 s, LR = 0.00200000
Epoch: 63 (Saved at 59), Train Loss: 30.982, Validation Loss: 19.604 (3.363), Epoch time: 31.308 s, LR = 0.00200000
Epoch: 64 (Saved at 59), Train Loss: 28.580, Validation Loss: 19.155 (3.749), Epoch time: 31.444 s, LR = 0.00200000
Epoch: 65 (Saved at 59), Train Loss: 29.464, Validation Loss: 17.098 (4.176), Epoch time: 30.682 s, LR = 0.00200000
Epoch: 66 (Saved at 59), Train Loss: 27.907, Validation Loss: 16.573 (3.967), Epoch time: 30.765 s, LR = 0.00200000
Epoch: 67 (Saved at 59), Train Loss: 24.348, Validation Loss: 16.637 (4.040), Epoch time: 30.596 s, LR = 0.00200000
Epoch: 68 (Saved at 59), Train Loss: 26.432, Validation Loss: 16.525 (3.562), Epoch time: 30.292 s, LR = 0.00200000
Epoch: 69 (Saved at 69), Train Loss: 24.681, Validation Loss: 15.862 (3.782), Epoch time: 30.042 s, LR = 0.00200000
Epoch: 70 (Saved at 70), Train Loss: 26.728, Validation Loss: 15.420 (4.068), Epoch time: 31.090 s, LR = 0.00200000
