Epoch: 0 (Saved at 0), Train Loss: 780.450, Validation Loss: 855.770 (41.652), Epoch time: 28.167 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 500.364, Validation Loss: 538.369 (36.444), Epoch time: 30.554 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 341.696, Validation Loss: 353.241 (30.129), Epoch time: 30.996 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 203.217, Validation Loss: 151.530 (12.311), Epoch time: 31.473 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 165.775, Validation Loss: 115.980 (9.890), Epoch time: 30.723 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 146.205, Validation Loss: 101.116 (9.288), Epoch time: 30.402 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 138.504, Validation Loss: 87.856 (8.741), Epoch time: 30.504 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 123.653, Validation Loss: 84.539 (5.695), Epoch time: 30.484 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 115.128, Validation Loss: 76.767 (5.383), Epoch time: 30.098 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 102.519, Validation Loss: 69.954 (5.281), Epoch time: 30.626 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 104.287, Validation Loss: 68.321 (4.879), Epoch time: 31.670 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 103.579, Validation Loss: 62.185 (5.074), Epoch time: 31.910 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 99.497, Validation Loss: 62.066 (4.704), Epoch time: 31.212 s, LR = 0.00200000
Epoch: 13 (Saved at 12), Train Loss: 99.090, Validation Loss: 62.625 (4.548), Epoch time: 30.840 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 95.324, Validation Loss: 58.741 (4.479), Epoch time: 30.822 s, LR = 0.00200000
Epoch: 15 (Saved at 14), Train Loss: 95.973, Validation Loss: 61.117 (4.168), Epoch time: 30.208 s, LR = 0.00200000
Epoch: 16 (Saved at 16), Train Loss: 96.758, Validation Loss: 56.883 (4.348), Epoch time: 30.361 s, LR = 0.00200000
Epoch: 17 (Saved at 16), Train Loss: 94.245, Validation Loss: 61.238 (3.963), Epoch time: 30.656 s, LR = 0.00200000
Epoch: 18 (Saved at 16), Train Loss: 87.327, Validation Loss: 58.155 (4.007), Epoch time: 31.143 s, LR = 0.00200000
Epoch: 19 (Saved at 19), Train Loss: 90.130, Validation Loss: 55.015 (3.941), Epoch time: 31.423 s, LR = 0.00200000
Epoch: 20 (Saved at 19), Train Loss: 91.296, Validation Loss: 56.769 (3.787), Epoch time: 30.680 s, LR = 0.00200000
Epoch: 21 (Saved at 19), Train Loss: 88.567, Validation Loss: 55.304 (3.870), Epoch time: 30.608 s, LR = 0.00200000
Epoch: 22 (Saved at 22), Train Loss: 84.161, Validation Loss: 53.088 (4.024), Epoch time: 30.114 s, LR = 0.00200000
Epoch: 23 (Saved at 23), Train Loss: 85.303, Validation Loss: 51.461 (3.991), Epoch time: 30.929 s, LR = 0.00200000
Epoch: 24 (Saved at 23), Train Loss: 83.687, Validation Loss: 60.014 (3.694), Epoch time: 32.031 s, LR = 0.00200000
Epoch: 25 (Saved at 23), Train Loss: 83.172, Validation Loss: 55.380 (3.973), Epoch time: 31.096 s, LR = 0.00200000
