Epoch: 0 (Saved at 0), Train Loss: 106.072, Validation Loss: 80.791 (8.728), Epoch time: 31.322 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 48.777, Validation Loss: 55.906 (8.775), Epoch time: 31.078 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 38.009, Validation Loss: 42.437 (7.359), Epoch time: 32.616 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 22.469, Validation Loss: 35.174 (5.475), Epoch time: 31.862 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 26.753, Validation Loss: 26.812 (4.059), Epoch time: 30.391 s, LR = 0.00200000
Epoch: 5 (Saved at 4), Train Loss: 28.941, Validation Loss: 42.523 (7.816), Epoch time: 30.244 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 20.346, Validation Loss: 25.374 (5.902), Epoch time: 30.185 s, LR = 0.00200000
Epoch: 7 (Saved at 6), Train Loss: 46.545, Validation Loss: 37.687 (6.598), Epoch time: 30.303 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 22.824, Validation Loss: 23.562 (5.858), Epoch time: 30.268 s, LR = 0.00200000
Epoch: 9 (Saved at 8), Train Loss: 15.181, Validation Loss: 24.013 (5.144), Epoch time: 30.240 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 27.010, Validation Loss: 20.147 (4.718), Epoch time: 30.332 s, LR = 0.00200000
Epoch: 11 (Saved at 10), Train Loss: 15.127, Validation Loss: 24.457 (4.707), Epoch time: 30.307 s, LR = 0.00200000
Epoch: 12 (Saved at 10), Train Loss: 23.824, Validation Loss: 23.735 (5.474), Epoch time: 30.281 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 13.105, Validation Loss: 19.425 (3.688), Epoch time: 30.219 s, LR = 0.00200000
Epoch: 14 (Saved at 13), Train Loss: 30.286, Validation Loss: 26.847 (5.949), Epoch time: 30.259 s, LR = 0.00200000
Epoch: 15 (Saved at 13), Train Loss: 41.527, Validation Loss: 24.547 (6.092), Epoch time: 30.239 s, LR = 0.00200000
Epoch: 16 (Saved at 13), Train Loss: 17.455, Validation Loss: 23.632 (4.569), Epoch time: 30.253 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 13.853, Validation Loss: 18.109 (4.220), Epoch time: 30.418 s, LR = 0.00200000
Epoch: 18 (Saved at 17), Train Loss: 12.567, Validation Loss: 28.746 (3.319), Epoch time: 30.353 s, LR = 0.00200000
Epoch: 19 (Saved at 17), Train Loss: 21.145, Validation Loss: 19.892 (4.598), Epoch time: 30.210 s, LR = 0.00200000
Epoch: 20 (Saved at 17), Train Loss: 16.356, Validation Loss: 23.307 (4.939), Epoch time: 30.235 s, LR = 0.00200000
Epoch: 21 (Saved at 17), Train Loss: 16.197, Validation Loss: 25.455 (4.183), Epoch time: 30.443 s, LR = 0.00200000
Epoch: 22 (Saved at 17), Train Loss: 18.639, Validation Loss: 24.883 (4.141), Epoch time: 30.220 s, LR = 0.00200000
Epoch: 23 (Saved at 17), Train Loss: 10.859, Validation Loss: 18.543 (4.588), Epoch time: 30.296 s, LR = 0.00200000
Epoch: 24 (Saved at 17), Train Loss: 14.751, Validation Loss: 22.315 (4.321), Epoch time: 30.302 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 13.636, Validation Loss: 17.363 (3.448), Epoch time: 30.288 s, LR = 0.00200000
Epoch: 26 (Saved at 26), Train Loss: 13.529, Validation Loss: 15.985 (4.248), Epoch time: 30.219 s, LR = 0.00200000
Epoch: 27 (Saved at 26), Train Loss: 12.711, Validation Loss: 16.553 (4.155), Epoch time: 30.309 s, LR = 0.00200000
Epoch: 28 (Saved at 26), Train Loss: 11.893, Validation Loss: 16.324 (3.999), Epoch time: 30.258 s, LR = 0.00200000
Epoch: 29 (Saved at 26), Train Loss: 11.267, Validation Loss: 18.447 (4.855), Epoch time: 30.274 s, LR = 0.00200000
Epoch: 30 (Saved at 26), Train Loss: 20.983, Validation Loss: 21.828 (4.469), Epoch time: 30.310 s, LR = 0.00200000
Epoch: 31 (Saved at 26), Train Loss: 14.254, Validation Loss: 19.391 (3.931), Epoch time: 30.209 s, LR = 0.00200000
Epoch: 32 (Saved at 26), Train Loss: 19.063, Validation Loss: 24.735 (4.420), Epoch time: 30.318 s, LR = 0.00200000
Epoch: 33 (Saved at 26), Train Loss: 17.715, Validation Loss: 22.165 (4.370), Epoch time: 30.272 s, LR = 0.00200000
Epoch: 34 (Saved at 34), Train Loss: 10.670, Validation Loss: 13.295 (3.290), Epoch time: 30.419 s, LR = 0.00200000
Epoch: 35 (Saved at 34), Train Loss: 12.437, Validation Loss: 18.763 (4.336), Epoch time: 30.265 s, LR = 0.00200000
Epoch: 36 (Saved at 34), Train Loss: 18.341, Validation Loss: 19.472 (3.985), Epoch time: 30.375 s, LR = 0.00200000
Epoch: 37 (Saved at 34), Train Loss: 10.306, Validation Loss: 19.180 (4.748), Epoch time: 30.295 s, LR = 0.00200000
Epoch: 38 (Saved at 34), Train Loss: 17.522, Validation Loss: 20.018 (4.249), Epoch time: 30.400 s, LR = 0.00200000
Epoch: 39 (Saved at 34), Train Loss: 15.674, Validation Loss: 20.155 (4.436), Epoch time: 30.350 s, LR = 0.00200000
Epoch: 40 (Saved at 34), Train Loss: 19.309, Validation Loss: 18.916 (3.870), Epoch time: 30.255 s, LR = 0.00200000
Epoch: 41 (Saved at 34), Train Loss: 9.859, Validation Loss: 17.899 (4.561), Epoch time: 30.313 s, LR = 0.00200000
Epoch: 42 (Saved at 34), Train Loss: 9.502, Validation Loss: 17.465 (4.697), Epoch time: 30.242 s, LR = 0.00200000
Epoch: 43 (Saved at 34), Train Loss: 11.156, Validation Loss: 18.197 (4.181), Epoch time: 30.328 s, LR = 0.00200000
