Epoch: 0 (Saved at 0), Train Loss: 781.964, Validation Loss: 857.431 (41.578), Epoch time: 31.107 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 508.256, Validation Loss: 579.440 (34.352), Epoch time: 30.701 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 480.255, Validation Loss: 517.725 (34.682), Epoch time: 31.145 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 442.573, Validation Loss: 475.570 (34.215), Epoch time: 30.235 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 274.645, Validation Loss: 214.317 (12.120), Epoch time: 30.827 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 253.880, Validation Loss: 177.916 (13.446), Epoch time: 30.819 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 233.221, Validation Loss: 161.884 (11.975), Epoch time: 30.946 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 210.801, Validation Loss: 147.070 (10.800), Epoch time: 31.033 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 201.167, Validation Loss: 138.279 (9.582), Epoch time: 31.059 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 200.544, Validation Loss: 136.957 (9.087), Epoch time: 30.832 s, LR = 0.00200000
Epoch: 10 (Saved at 9), Train Loss: 188.881, Validation Loss: 137.711 (8.038), Epoch time: 30.504 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 193.133, Validation Loss: 122.127 (8.341), Epoch time: 30.655 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 183.863, Validation Loss: 118.345 (7.752), Epoch time: 29.956 s, LR = 0.00200000
Epoch: 13 (Saved at 12), Train Loss: 178.297, Validation Loss: 123.851 (7.265), Epoch time: 30.266 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 177.432, Validation Loss: 114.813 (7.293), Epoch time: 31.329 s, LR = 0.00200000
Epoch: 15 (Saved at 14), Train Loss: 176.476, Validation Loss: 116.007 (6.809), Epoch time: 30.730 s, LR = 0.00200000
