Epoch: 0 (Saved at 0), Train Loss: 1028.286, Validation Loss: 1107.255 (42.891), Epoch time: 27.149 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 763.024, Validation Loss: 846.012 (43.941), Epoch time: 26.531 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 509.661, Validation Loss: 601.932 (37.804), Epoch time: 26.577 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 441.895, Validation Loss: 506.660 (34.328), Epoch time: 26.584 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 334.790, Validation Loss: 385.288 (32.010), Epoch time: 26.678 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 201.212, Validation Loss: 204.218 (19.920), Epoch time: 26.632 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 143.868, Validation Loss: 154.235 (16.638), Epoch time: 26.630 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 117.643, Validation Loss: 124.048 (14.445), Epoch time: 26.614 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 90.109, Validation Loss: 93.266 (12.314), Epoch time: 26.646 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 74.076, Validation Loss: 80.219 (12.252), Epoch time: 26.608 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 63.220, Validation Loss: 69.817 (11.462), Epoch time: 26.592 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 53.232, Validation Loss: 60.851 (9.587), Epoch time: 26.575 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 47.330, Validation Loss: 54.853 (9.776), Epoch time: 26.621 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 41.140, Validation Loss: 48.544 (7.647), Epoch time: 26.668 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 37.561, Validation Loss: 44.742 (7.602), Epoch time: 26.552 s, LR = 0.00200000
Epoch: 15 (Saved at 14), Train Loss: 34.853, Validation Loss: 44.891 (9.033), Epoch time: 26.605 s, LR = 0.00200000
Epoch: 16 (Saved at 16), Train Loss: 33.327, Validation Loss: 43.721 (9.299), Epoch time: 26.695 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 34.697, Validation Loss: 39.704 (5.749), Epoch time: 26.589 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 32.250, Validation Loss: 38.805 (5.975), Epoch time: 26.555 s, LR = 0.00200000
Epoch: 19 (Saved at 19), Train Loss: 29.653, Validation Loss: 35.339 (5.991), Epoch time: 26.547 s, LR = 0.00200000
Epoch: 20 (Saved at 20), Train Loss: 27.663, Validation Loss: 34.697 (5.661), Epoch time: 26.691 s, LR = 0.00200000
Epoch: 21 (Saved at 21), Train Loss: 26.336, Validation Loss: 32.648 (5.974), Epoch time: 26.611 s, LR = 0.00200000
Epoch: 22 (Saved at 22), Train Loss: 24.617, Validation Loss: 31.933 (5.628), Epoch time: 26.563 s, LR = 0.00200000
Epoch: 23 (Saved at 23), Train Loss: 22.984, Validation Loss: 30.170 (6.046), Epoch time: 26.622 s, LR = 0.00200000
Epoch: 24 (Saved at 24), Train Loss: 21.927, Validation Loss: 29.728 (6.607), Epoch time: 26.576 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 21.166, Validation Loss: 29.116 (6.685), Epoch time: 26.588 s, LR = 0.00200000
Epoch: 26 (Saved at 26), Train Loss: 20.449, Validation Loss: 29.106 (6.988), Epoch time: 26.539 s, LR = 0.00200000
