Epoch: 47 (Saved at 47), Train Loss: 92.627, Validation Loss: 46.453 (5.884), Epoch time: 30.699 s, LR = 0.00200000
Epoch: 48 (Saved at 47), Train Loss: 89.001, Validation Loss: 50.476 (5.649), Epoch time: 31.600 s, LR = 0.00200000
Epoch: 49 (Saved at 47), Train Loss: 87.971, Validation Loss: 53.814 (5.518), Epoch time: 31.065 s, LR = 0.00200000
Epoch: 50 (Saved at 47), Train Loss: 89.353, Validation Loss: 55.465 (5.424), Epoch time: 32.167 s, LR = 0.00200000
Epoch: 51 (Saved at 47), Train Loss: 87.598, Validation Loss: 49.167 (5.526), Epoch time: 32.388 s, LR = 0.00200000
Epoch: 52 (Saved at 47), Train Loss: 86.002, Validation Loss: 54.296 (5.068), Epoch time: 31.999 s, LR = 0.00200000
Epoch: 53 (Saved at 53), Train Loss: 81.290, Validation Loss: 46.199 (5.919), Epoch time: 31.796 s, LR = 0.00200000
Epoch: 54 (Saved at 53), Train Loss: 88.831, Validation Loss: 50.961 (5.591), Epoch time: 32.024 s, LR = 0.00200000
Epoch: 55 (Saved at 53), Train Loss: 84.471, Validation Loss: 46.934 (5.985), Epoch time: 31.015 s, LR = 0.00200000
Epoch: 56 (Saved at 53), Train Loss: 91.111, Validation Loss: 48.771 (5.561), Epoch time: 31.299 s, LR = 0.00200000
Epoch: 57 (Saved at 53), Train Loss: 85.285, Validation Loss: 47.893 (5.828), Epoch time: 31.842 s, LR = 0.00200000
Epoch: 58 (Saved at 58), Train Loss: 83.347, Validation Loss: 45.280 (5.779), Epoch time: 31.531 s, LR = 0.00200000
Epoch: 59 (Saved at 58), Train Loss: 84.412, Validation Loss: 45.871 (5.978), Epoch time: 30.844 s, LR = 0.00200000
Epoch: 60 (Saved at 58), Train Loss: 79.988, Validation Loss: 46.056 (5.627), Epoch time: 31.511 s, LR = 0.00200000
Epoch: 61 (Saved at 58), Train Loss: 80.558, Validation Loss: 49.428 (5.823), Epoch time: 31.081 s, LR = 0.00200000
Epoch: 62 (Saved at 58), Train Loss: 81.789, Validation Loss: 47.406 (5.765), Epoch time: 30.842 s, LR = 0.00200000
Epoch: 63 (Saved at 58), Train Loss: 72.333, Validation Loss: 48.255 (5.630), Epoch time: 32.435 s, LR = 0.00200000
Epoch: 64 (Saved at 58), Train Loss: 81.319, Validation Loss: 47.343 (6.324), Epoch time: 31.066 s, LR = 0.00200000
Epoch: 65 (Saved at 65), Train Loss: 73.543, Validation Loss: 42.404 (6.991), Epoch time: 32.011 s, LR = 0.00200000
Epoch: 66 (Saved at 65), Train Loss: 77.975, Validation Loss: 43.597 (6.862), Epoch time: 31.912 s, LR = 0.00200000
Epoch: 67 (Saved at 65), Train Loss: 78.832, Validation Loss: 43.824 (6.657), Epoch time: 31.176 s, LR = 0.00200000
Epoch: 68 (Saved at 65), Train Loss: 79.877, Validation Loss: 44.356 (6.414), Epoch time: 30.989 s, LR = 0.00200000
Epoch: 69 (Saved at 65), Train Loss: 79.783, Validation Loss: 42.868 (6.088), Epoch time: 31.419 s, LR = 0.00200000
Epoch: 70 (Saved at 65), Train Loss: 77.457, Validation Loss: 43.937 (6.140), Epoch time: 31.593 s, LR = 0.00200000
Epoch: 71 (Saved at 65), Train Loss: 75.911, Validation Loss: 44.205 (6.118), Epoch time: 31.132 s, LR = 0.00200000
Epoch: 72 (Saved at 65), Train Loss: 75.305, Validation Loss: 45.228 (6.406), Epoch time: 31.936 s, LR = 0.00200000
Epoch: 73 (Saved at 65), Train Loss: 73.399, Validation Loss: 44.973 (6.306), Epoch time: 31.327 s, LR = 0.00200000
Epoch: 74 (Saved at 65), Train Loss: 80.194, Validation Loss: 42.587 (6.153), Epoch time: 30.611 s, LR = 0.00200000
Epoch: 75 (Saved at 65), Train Loss: 75.826, Validation Loss: 45.439 (6.382), Epoch time: 30.596 s, LR = 0.00200000
Epoch: 76 (Saved at 65), Train Loss: 77.423, Validation Loss: 43.862 (6.031), Epoch time: 31.343 s, LR = 0.00200000
Epoch: 77 (Saved at 65), Train Loss: 74.443, Validation Loss: 45.199 (6.282), Epoch time: 30.818 s, LR = 0.00200000
Epoch: 78 (Saved at 65), Train Loss: 76.453, Validation Loss: 49.261 (5.959), Epoch time: 30.915 s, LR = 0.00200000
Epoch: 79 (Saved at 65), Train Loss: 73.047, Validation Loss: 47.478 (5.582), Epoch time: 31.287 s, LR = 0.00200000
Epoch: 80 (Saved at 65), Train Loss: 70.632, Validation Loss: 48.210 (5.760), Epoch time: 31.013 s, LR = 0.00200000
Epoch: 81 (Saved at 65), Train Loss: 80.238, Validation Loss: 45.912 (6.302), Epoch time: 31.268 s, LR = 0.00200000
Epoch: 82 (Saved at 65), Train Loss: 73.532, Validation Loss: 46.207 (5.771), Epoch time: 31.693 s, LR = 0.00200000
Epoch: 83 (Saved at 83), Train Loss: 76.157, Validation Loss: 41.495 (6.063), Epoch time: 30.889 s, LR = 0.00200000
Epoch: 84 (Saved at 83), Train Loss: 73.662, Validation Loss: 44.454 (6.152), Epoch time: 31.312 s, LR = 0.00200000
Epoch: 85 (Saved at 83), Train Loss: 75.962, Validation Loss: 45.367 (5.825), Epoch time: 30.488 s, LR = 0.00200000
Epoch: 86 (Saved at 83), Train Loss: 71.965, Validation Loss: 43.025 (5.803), Epoch time: 31.644 s, LR = 0.00200000
Epoch: 87 (Saved at 87), Train Loss: 75.254, Validation Loss: 41.386 (5.918), Epoch time: 31.736 s, LR = 0.00200000
Epoch: 88 (Saved at 87), Train Loss: 76.380, Validation Loss: 44.197 (5.949), Epoch time: 30.329 s, LR = 0.00200000
Epoch: 89 (Saved at 89), Train Loss: 75.735, Validation Loss: 41.105 (5.914), Epoch time: 31.090 s, LR = 0.00200000
Epoch: 90 (Saved at 89), Train Loss: 70.372, Validation Loss: 42.234 (5.962), Epoch time: 30.284 s, LR = 0.00200000
Epoch: 91 (Saved at 89), Train Loss: 73.776, Validation Loss: 44.559 (6.115), Epoch time: 31.085 s, LR = 0.00200000
Epoch: 92 (Saved at 89), Train Loss: 76.353, Validation Loss: 43.948 (5.499), Epoch time: 31.368 s, LR = 0.00200000
Epoch: 93 (Saved at 89), Train Loss: 77.827, Validation Loss: 44.795 (5.540), Epoch time: 31.168 s, LR = 0.00200000
Epoch: 94 (Saved at 89), Train Loss: 72.008, Validation Loss: 49.591 (5.560), Epoch time: 30.547 s, LR = 0.00200000
Epoch: 95 (Saved at 89), Train Loss: 72.044, Validation Loss: 43.289 (5.697), Epoch time: 30.318 s, LR = 0.00200000
Epoch: 96 (Saved at 89), Train Loss: 70.475, Validation Loss: 41.834 (6.254), Epoch time: 29.633 s, LR = 0.00200000
Epoch: 97 (Saved at 89), Train Loss: 74.257, Validation Loss: 41.742 (6.412), Epoch time: 30.420 s, LR = 0.00200000
Epoch: 98 (Saved at 89), Train Loss: 70.515, Validation Loss: 42.621 (6.162), Epoch time: 30.728 s, LR = 0.00200000
Epoch: 99 (Saved at 89), Train Loss: 69.067, Validation Loss: 42.873 (6.215), Epoch time: 30.577 s, LR = 0.00200000
Epoch: 100 (Saved at 89), Train Loss: 66.942, Validation Loss: 44.287 (6.492), Epoch time: 31.107 s, LR = 0.00200000
Epoch: 101 (Saved at 89), Train Loss: 66.125, Validation Loss: 43.148 (6.325), Epoch time: 31.679 s, LR = 0.00200000
Epoch: 102 (Saved at 89), Train Loss: 72.707, Validation Loss: 42.442 (6.091), Epoch time: 31.121 s, LR = 0.00200000
Epoch: 103 (Saved at 89), Train Loss: 70.949, Validation Loss: 44.165 (6.092), Epoch time: 31.279 s, LR = 0.00200000
Epoch: 104 (Saved at 89), Train Loss: 70.548, Validation Loss: 41.623 (6.119), Epoch time: 31.755 s, LR = 0.00200000
Epoch: 105 (Saved at 89), Train Loss: 71.610, Validation Loss: 41.842 (5.910), Epoch time: 32.000 s, LR = 0.00200000
Epoch: 106 (Saved at 89), Train Loss: 66.330, Validation Loss: 41.991 (5.524), Epoch time: 30.695 s, LR = 0.00200000
Epoch: 107 (Saved at 89), Train Loss: 68.317, Validation Loss: 41.785 (6.254), Epoch time: 30.404 s, LR = 0.00200000
Epoch: 108 (Saved at 89), Train Loss: 65.712, Validation Loss: 41.250 (5.728), Epoch time: 31.370 s, LR = 0.00200000
Epoch: 109 (Saved at 109), Train Loss: 67.960, Validation Loss: 39.201 (5.893), Epoch time: 31.659 s, LR = 0.00200000
Epoch: 110 (Saved at 110), Train Loss: 76.108, Validation Loss: 37.503 (5.694), Epoch time: 31.090 s, LR = 0.00200000
Epoch: 111 (Saved at 110), Train Loss: 70.096, Validation Loss: 38.107 (5.739), Epoch time: 31.347 s, LR = 0.00200000
Epoch: 112 (Saved at 110), Train Loss: 68.974, Validation Loss: 40.429 (6.106), Epoch time: 31.273 s, LR = 0.00200000
Epoch: 113 (Saved at 110), Train Loss: 71.595, Validation Loss: 40.750 (5.637), Epoch time: 30.959 s, LR = 0.00200000
Epoch: 114 (Saved at 110), Train Loss: 71.140, Validation Loss: 38.829 (5.698), Epoch time: 30.590 s, LR = 0.00200000
Epoch: 115 (Saved at 110), Train Loss: 63.993, Validation Loss: 39.095 (5.664), Epoch time: 31.639 s, LR = 0.00200000
Epoch: 116 (Saved at 110), Train Loss: 71.045, Validation Loss: 38.244 (6.066), Epoch time: 31.521 s, LR = 0.00200000
Epoch: 117 (Saved at 110), Train Loss: 69.936, Validation Loss: 39.508 (5.718), Epoch time: 31.853 s, LR = 0.00200000
Epoch: 118 (Saved at 110), Train Loss: 61.442, Validation Loss: 38.783 (6.253), Epoch time: 30.772 s, LR = 0.00200000
Epoch: 119 (Saved at 110), Train Loss: 64.406, Validation Loss: 37.916 (5.722), Epoch time: 29.530 s, LR = 0.00200000
Epoch: 120 (Saved at 120), Train Loss: 69.075, Validation Loss: 36.655 (5.968), Epoch time: 30.256 s, LR = 0.00200000
Epoch: 121 (Saved at 120), Train Loss: 68.603, Validation Loss: 37.333 (5.658), Epoch time: 31.867 s, LR = 0.00200000
Epoch: 122 (Saved at 122), Train Loss: 64.345, Validation Loss: 34.882 (5.619), Epoch time: 31.007 s, LR = 0.00200000
Epoch: 123 (Saved at 122), Train Loss: 68.599, Validation Loss: 36.929 (5.194), Epoch time: 31.842 s, LR = 0.00200000
