Epoch: 0 (Saved at 0), Train Loss: 780.429, Validation Loss: 856.651 (42.381), Epoch time: 26.089 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 483.219, Validation Loss: 528.962 (34.376), Epoch time: 29.505 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 353.380, Validation Loss: 380.895 (30.544), Epoch time: 30.780 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 181.999, Validation Loss: 159.143 (10.612), Epoch time: 30.740 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 134.750, Validation Loss: 103.068 (8.241), Epoch time: 30.429 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 107.354, Validation Loss: 80.572 (8.061), Epoch time: 31.007 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 96.198, Validation Loss: 69.155 (6.885), Epoch time: 30.501 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 90.671, Validation Loss: 60.224 (6.946), Epoch time: 31.156 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 76.854, Validation Loss: 54.448 (7.612), Epoch time: 31.523 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 78.534, Validation Loss: 52.299 (7.571), Epoch time: 31.089 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 75.977, Validation Loss: 47.609 (5.874), Epoch time: 30.968 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 76.733, Validation Loss: 46.646 (5.097), Epoch time: 31.203 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 72.877, Validation Loss: 45.813 (4.733), Epoch time: 31.001 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 69.033, Validation Loss: 44.293 (4.834), Epoch time: 30.906 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 66.650, Validation Loss: 43.247 (4.568), Epoch time: 30.673 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 68.454, Validation Loss: 41.803 (4.725), Epoch time: 30.420 s, LR = 0.00200000
Epoch: 16 (Saved at 15), Train Loss: 68.928, Validation Loss: 42.677 (4.478), Epoch time: 30.778 s, LR = 0.00200000
Epoch: 17 (Saved at 17), Train Loss: 64.671, Validation Loss: 40.598 (4.659), Epoch time: 31.800 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 65.841, Validation Loss: 38.398 (4.913), Epoch time: 31.677 s, LR = 0.00200000
Epoch: 19 (Saved at 18), Train Loss: 64.511, Validation Loss: 40.813 (4.161), Epoch time: 31.876 s, LR = 0.00200000
Epoch: 20 (Saved at 18), Train Loss: 63.504, Validation Loss: 39.648 (4.217), Epoch time: 30.009 s, LR = 0.00200000
Epoch: 21 (Saved at 18), Train Loss: 60.828, Validation Loss: 41.920 (3.929), Epoch time: 30.214 s, LR = 0.00200000
Epoch: 22 (Saved at 18), Train Loss: 60.352, Validation Loss: 40.328 (4.011), Epoch time: 30.861 s, LR = 0.00200000
Epoch: 23 (Saved at 18), Train Loss: 58.233, Validation Loss: 39.810 (3.909), Epoch time: 31.312 s, LR = 0.00200000
Epoch: 24 (Saved at 18), Train Loss: 55.424, Validation Loss: 38.408 (3.939), Epoch time: 31.873 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 53.260, Validation Loss: 36.292 (4.016), Epoch time: 30.321 s, LR = 0.00200000
Epoch: 26 (Saved at 25), Train Loss: 56.997, Validation Loss: 40.154 (3.622), Epoch time: 31.335 s, LR = 0.00200000
Epoch: 27 (Saved at 27), Train Loss: 59.202, Validation Loss: 34.594 (4.397), Epoch time: 31.635 s, LR = 0.00200000
Epoch: 28 (Saved at 27), Train Loss: 57.001, Validation Loss: 35.098 (4.366), Epoch time: 31.414 s, LR = 0.00200000
Epoch: 29 (Saved at 29), Train Loss: 52.473, Validation Loss: 33.870 (4.459), Epoch time: 31.247 s, LR = 0.00200000
Epoch: 30 (Saved at 29), Train Loss: 55.406, Validation Loss: 35.582 (4.191), Epoch time: 31.534 s, LR = 0.00200000
Epoch: 31 (Saved at 31), Train Loss: 58.447, Validation Loss: 31.582 (4.593), Epoch time: 31.424 s, LR = 0.00200000
Epoch: 32 (Saved at 31), Train Loss: 54.493, Validation Loss: 31.797 (4.411), Epoch time: 31.843 s, LR = 0.00200000
Epoch: 33 (Saved at 31), Train Loss: 53.017, Validation Loss: 35.432 (3.946), Epoch time: 31.422 s, LR = 0.00200000
Epoch: 34 (Saved at 31), Train Loss: 53.508, Validation Loss: 32.301 (4.186), Epoch time: 31.188 s, LR = 0.00200000
Epoch: 35 (Saved at 35), Train Loss: 50.530, Validation Loss: 31.023 (4.175), Epoch time: 32.737 s, LR = 0.00200000
