Epoch: 0 (Saved at 0), Train Loss: 1155.138, Validation Loss: 1182.299 (35.560), Epoch time: 26.204 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 1022.576, Validation Loss: 1039.611 (41.373), Epoch time: 29.443 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 706.926, Validation Loss: 731.086 (42.262), Epoch time: 30.464 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 525.297, Validation Loss: 569.639 (37.263), Epoch time: 29.599 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 473.042, Validation Loss: 508.685 (35.784), Epoch time: 28.541 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 445.947, Validation Loss: 480.262 (35.337), Epoch time: 28.508 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 398.943, Validation Loss: 430.326 (34.180), Epoch time: 28.331 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 266.422, Validation Loss: 299.974 (27.138), Epoch time: 28.644 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 181.141, Validation Loss: 186.494 (14.213), Epoch time: 28.426 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 141.309, Validation Loss: 143.166 (11.418), Epoch time: 28.934 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 118.616, Validation Loss: 116.588 (10.924), Epoch time: 29.406 s, LR = 0.00200000
Epoch: 11 (Saved at 11), Train Loss: 99.519, Validation Loss: 96.997 (10.582), Epoch time: 29.511 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 86.838, Validation Loss: 84.636 (10.263), Epoch time: 28.598 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 80.415, Validation Loss: 76.649 (9.187), Epoch time: 28.534 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 68.581, Validation Loss: 71.064 (7.754), Epoch time: 28.495 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 63.630, Validation Loss: 70.070 (6.523), Epoch time: 28.982 s, LR = 0.00200000
Epoch: 16 (Saved at 16), Train Loss: 67.001, Validation Loss: 59.091 (7.842), Epoch time: 28.479 s, LR = 0.00200000
